date,amount,description,balance,income,word_embed,type,contains_salary
19/9/18,-20,Wdl ATM CBA ATM  RICHMOND STH B VIC 316602   AUS,8050.21,0,-0.0061254,4,0
19/9/18,-14.99,Amazon Australia Servi MELBOURNE AU AUS Card xx5369 Value Date: 17/09/2018,8070.21,0,-0.0049117,4,0
19/9/18,-163.2,PARKS VICTORIA PSTAY MELBOURNE VI AUS Card xx5369 Value Date: 16/09/2018,8085.2,0,-0.0035201,4,0
19/9/18,-108.8,PARKS VICTORIA PSTAY MELBOURNE VI AUS Card xx5369 Value Date: 16/09/2018,8248.4,0,-0.0035201,4,0
19/9/18,-89.99,MY BEAUTY SPOT MALVERN EAST VI AUS Card xx5369 Value Date: 15/09/2018,8357.2,0,-0.0076221,4,0
19/9/18,-6.61,UBER TRIP I4YKN HELP.U 14518236738 AU AUS Card xx5369 Value Date: 16/09/2018,8447.19,0,-0.0007778,4,0
19/9/18,-6,UBER TRIP EK3PN HELP.U 14518236738 AU AUS Card xx5369 Value Date: 16/09/2018,8453.8,0,-0.0007778,4,0
18/9/18,-20.5,THE BEER & BURGER CA RICHMOND VI AUS Card xx5369 Value Date: 13/09/2018,8459.8,0,-0.007949,4,0
18/9/18,-30.32,COLES EXPRESS 6765 MALVERN AU AUS Card xx5369 Value Date: 15/09/2018,8480.3,0,-0.0044098,4,0
18/9/18,-47.8,THAICOON BRIGHTON VI AUS Card xx5369 Value Date: 14/09/2018,8510.62,0,-0.0063995,4,0
16/9/18,-23,Rising Sun Hotel         South MelbourAU,8558.42,0,-0.0028241,4,0
16/9/18,-2.8,Non CBA ATM Withdrawal Fee,8581.42,0,-0.0025512,4,0
16/9/18,-70,Wdl ATM Red DCP-The Rising Su  South  Mel     AU,8584.22,0,-0.0063352,4,0
16/9/18,-19.95,MASQUERADE COSTUME H     KEW          AU Card xx5369,8654.22,0,-0.0034364,4,0
16/9/18,-50,Transfer to other Bank CommBank app brunch,8674.17,0,-0.0058016,4,0
15/9/18,-52.8,COLES EXPRESS 6765       MALVERN      AU Cash Out $50.00 Purchase $2.80,8724.17,0,0.00102036,4,0
15/9/18,-149,DAVID JONES LIMITED      CHADSTONE    AU Card xx5369,8776.97,0,-0.0042997,4,0
15/9/18,-200,SPORTSBET PTY LTD MELBOURNE VI AUS Card xx5369 Value Date: 12/09/2018,8925.97,0,-0.0049645,4,0
15/9/18,-100,SPORTSBET P/L DARWIN NT AUS Card xx5369 Value Date: 12/09/2018,9125.97,0,-0.0091791,4,0
