date,amount,description,word embed,TYPE,MLPClassifier,SVG ,MLP2,SVG2,income,Synthesised
30/4/19,0.03,INTEREST PAID,0.002985165,3,,,,,,0
29/4/19,1981.55,DEPOSIT ONLINE 2373847 TFR Westpac Choice,-0.006622454,5,1.00E+00,0.00E+00,1,0,,0
31/1/19,0.1,INTEREST PAID,-0.000440119,3,1.00E+00,0.00E+00,0,0,,0
14/1/19,-200,WITHDRAWAL MOBILE 1502227 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
14/1/19,-300,WITHDRAWAL ONLINE 1180669 TFR Westpac Cho,-0.00876343,4,0.00E+00,0.00E+00,0,0,,0
31/12/18,0.6,INTEREST PAID,-0.007507263,3,1.00E+00,0.00E+00,0,0,,0
19/12/18,-1500,WITHDRAWAL ONLINE 1490906 TFR Westpac Cho,-0.00876343,4,0.00E+00,0.00E+00,0,0,,0
30/11/18,0.82,INTEREST PAID,-0.007507263,3,1.00E+00,0.00E+00,0,0,,0
31/10/18,0.91,INTEREST PAID,-0.008931275,3,1.00E+00,0.00E+00,0,0,,0
28/9/18,0.77,INTEREST PAID,-0.006398294,3,1.00E+00,0.00E+00,0,0,,0
31/8/18,0.85,INTEREST PAID,-0.006366895,3,1.00E+00,0.00E+00,0,0,,0
31/7/18,0.96,INTEREST PAID,-0.008931275,3,1.00E+00,0.00E+00,0,0,,0
29/6/18,1.27,INTEREST PAID,-0.008931275,3,1.00E+00,0.00E+00,0,0,,0
31/5/18,1.36,INTEREST PAID,-0.008931275,3,1.00E+00,0.00E+00,0,0,,0
16/5/18,7.78,DEPOSIT WBC Remediation INT / FEE REFUND,-0.008931275,5,1.00E+00,0.00E+00,0,0,,0
30/4/18,1.4,INTEREST PAID,-0.008931275,3,1.00E+00,0.00E+00,0,0,,0
29/3/18,1.63,INTEREST PAID,-0.000809824,3,1.00E+00,0.00E+00,0,0,,0
8/3/18,-2066.89,WITHDRAWAL ONLINE 1106605 TFR Westpac Cho,-0.00876343,4,0.00E+00,0.00E+00,0,0,,0
28/2/18,-1000,WITHDRAWAL ONLINE 1204338 TFR Westpac Cho,-0.00876343,4,0.00E+00,0.00E+00,0,0,,0
28/2/18,2.33,INTEREST PAID,-0.008931275,3,1.00E+00,0.00E+00,0,0,,0
27/2/18,1300,DEPOSIT ONLINE 2284859 TFR Westpac Choice Stude,-0.006366895,5,1.00E+00,0.00E+00,1,0,,0
31/1/18,2.94,INTEREST PAID,-0.008931275,3,1.00E+00,0.00E+00,0,0,,0
15/1/18,-50,WITHDRAWAL MOBILE 1122837 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
15/1/18,-400,WITHDRAWAL MOBILE 1114438 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
5/1/18,-400,WITHDRAWAL MOBILE 1887151 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
29/12/17,3.59,INTEREST PAID,-0.003422984,3,1.00E+00,0.00E+00,0,0,,0
27/12/17,-500,WITHDRAWAL MOBILE 1696838 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
27/12/17,-250,WITHDRAWAL MOBILE 1189683 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
27/12/17,-250,WITHDRAWAL MOBILE 1013126 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
27/12/17,150,DEPOSIT ONLINE 2804284 PYMT AMANDA TYRRELL Happy Holiday,-0.006398294,5,1.00E+00,0.00E+00,1,0,,0
27/12/17,150,DEPOSIT ONLINE 2765031 PYMT DAVID TYRRELL Merry Xmas,-0.007507263,5,1.00E+00,0.00E+00,1,0,,0
22/12/17,-100,WITHDRAWAL MOBILE 1191479 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
19/12/17,-300,WITHDRAWAL MOBILE 1888556 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
19/12/17,-300,WITHDRAWAL MOBILE 1248426 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
18/12/17,-600,WITHDRAWAL MOBILE 1210426 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
7/12/17,3000,DEPOSIT ONLINE 2118965 TFR Westpac Choice Stude,-0.006366895,5,1.00E+00,0.00E+00,1,0,,0
30/11/17,3.41,INTEREST PAID,-0.007507263,3,1.00E+00,0.00E+00,0,0,,0
21/11/17,-400,WITHDRAWAL MOBILE 1085023 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
21/11/17,-400,WITHDRAWAL MOBILE 1032269 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
1/11/17,400,DEPOSIT ONLINE 2190606 TFR Westpac Choice Stude,-0.007507263,5,1.00E+00,0.00E+00,1,0,,0
31/10/17,4.62,INTEREST PAID,-0.006398294,3,1.00E+00,0.00E+00,0,0,,0
26/10/17,600,DEPOSIT ONLINE 2974437 TFR Westpac Choice Stude,-0.006366895,5,1.00E+00,0.00E+00,1,0,,0
25/10/17,-2600,WITHDRAWAL ONLINE 1926673 TFR Westpac Cho,-0.00876343,4,0.00E+00,0.00E+00,0,0,,0
13/10/17,703.85,DEPOSIT ONLINE 2141464 TFR Westpac Choice Stude,-0.006366895,5,1.00E+00,0.00E+00,1,0,,0
